donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion
LP0070,CES 2024 Common Content,1882426960,10.0780290457047,27,18-29,Male,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat,Oregon,OR,,1882426960,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Protestant
LP0071,CES 2024 Common Content,1882435836,13.1841712680944,25,18-29,Male,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Other,Tennessee,TN,,1882435836,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Roman Catholic
LP0072,CES 2024 Common Content,1882439054,1.11701891250184,28,18-29,Male,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,New York,NY,,1882439054,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Agnostic
LP0073,CES 2024 Common Content,1885099064,6.69146695988698,18,18-29,Male,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Other,New Jersey,NJ,,1885099064,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic
LP0074,CES 2024 Common Content,1885708768,4.63708202399192,26,18-29,Male,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,New Jersey,NJ,,1885708768,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Something else
LP0075,CES 2024 Common Content,1886164010,4.80996418047911,25,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Republican,Texas,TX,,1886164010,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Roman Catholic
LP0076,CES 2024 Common Content,1886317374,2.84936701557704,23,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent,Texas,TX,,1886317374,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Atheist
LP0077,CES 2024 Common Content,1886432286,1.2899843549395,25,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,Washington,WA,,1886432286,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Roman Catholic
LP0078,CES 2024 Common Content,1886682122,1.32338439432281,26,18-29,Male,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Independent,Florida,FL,,1886682122,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular
LP0079,CES 2024 Common Content,1888481066,5.96331425342448,28,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Republican,New Jersey,NJ,,1888481066,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic
