latent_profile_id,donor_id,gender,age,age_band,race,education,education_approximated,income,income_approximated,party,state_abbr,religion,political_ideology,ces_commonweight,population_seed
LP0110,1870931264,Male,40,30-44,White / Caucasian,High school diploma / GED,False,"$30,000 to $55,999",False,Republican,OK,Nothing in particular,Moderate,6.91647322320046,20260831
LP0111,1870931310,Male,30,30-44,White / Caucasian,Bachelor's degree,False,"$168,000 or more",True,Independent,MN,Roman Catholic,Moderate,1.79906274882441,20260831
LP0112,1870931354,Male,44,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Independent,WI,Nothing in particular,Liberal,1.49136419028312,20260831
LP0113,1870931848,Male,37,30-44,White / Caucasian,Some college or Associate's degree,False,"$56,000 to $99,999",False,Republican,WA,Something else,Very conservative,2.69346523764373,20260831
LP0114,1872864470,Male,30,30-44,White / Caucasian,Bachelor's degree,False,"$56,000 to $99,999",False,Other,CA,Agnostic,Very liberal,1.49841927225175,20260831
LP0115,1874385718,Male,36,30-44,White / Caucasian,Master's degree / Professional degree,True,"$56,000 to $99,999",False,Democrat,MA,Nothing in particular,Liberal,1.182066615113,20260831
LP0116,1878459804,Male,40,30-44,White / Caucasian,Master's degree / Professional degree,True,"$168,000 or more",False,Democrat,CO,Atheist,Very liberal,1.5201278607076,20260831
LP0117,1878645794,Male,35,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Democrat,NY,Agnostic,Very liberal,1.56926528593297,20260831
LP0118,1878878464,Male,43,30-44,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Democrat,CA,Agnostic,Very liberal,0.8444532640518,20260831
LP0119,1880400324,Male,43,30-44,White / Caucasian,Bachelor's degree,False,"$168,000 or more",False,Democrat,WA,Atheist,Liberal,1.35760979805272,20260831
LP0120,1880410050,Male,39,30-44,White / Caucasian,Master's degree / Professional degree,True,"$100,000 to $167,999",False,Democrat,GA,Atheist,Very liberal,0.685296155707435,20260831
LP0121,1880413632,Male,37,30-44,White / Caucasian,Some college or Associate's degree,False,"$30,000 to $55,999",False,Democrat,NY,Atheist,Very liberal,1.46968463117284,20260831
LP0122,1880489042,Male,43,30-44,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Democrat,WV,Nothing in particular,,7.99335309612193,20260831
LP0123,1880495496,Male,38,30-44,White / Caucasian,Some college or Associate's degree,False,"$30,000 to $55,999",False,Republican,PA,Protestant,Conservative,2.60896326293401,20260831
LP0124,1882448142,Male,30,30-44,White / Caucasian,Bachelor's degree,False,"$56,000 to $99,999",False,Independent,UT,Mormon,Moderate,1.31352183522113,20260831
LP0125,1883077956,Male,30,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Republican,FL,Protestant,Conservative,3.49773173942178,20260831
LP0126,1886317348,Male,44,30-44,White / Caucasian,Bachelor's degree,False,"$56,000 to $99,999",False,Independent,NM,Protestant,Moderate,1.5095750902042,20260831
LP0127,1886364352,Male,38,30-44,White / Caucasian,Bachelor's degree,False,"$30,000 to $55,999",False,Democrat,TX,Protestant,Moderate,1.40785792280213,20260831
LP0128,1886447544,Male,38,30-44,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Other,TN,Nothing in particular,,2.60894770166457,20260831
LP0129,1886569448,Male,40,30-44,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Independent,NV,Protestant,Liberal,1.28525781679811,20260831
LP0130,1887957742,Male,43,30-44,White / Caucasian,Bachelor's degree,False,"$30,000 to $55,999",True,Republican,WY,Protestant,Conservative,1.81265326622254,20260831
LP0131,1888365408,Male,34,30-44,White / Caucasian,High school diploma / GED,False,"$30,000 to $55,999",True,Independent,ME,Atheist,Moderate,1.80868525703272,20260831
LP0132,1888365476,Male,42,30-44,White / Caucasian,High school diploma / GED,False,"$30,000 to $55,999",True,Independent,AZ,Atheist,Very liberal,1.80559422977505,20260831
LP0133,1889055548,Male,44,30-44,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Republican,OH,Protestant,Moderate,4.65697977871055,20260831
