study_id,effect_id,analytic_n,distinct_profile_signatures,profiles_with_any_missing_demographic,pct_profiles_with_any_missing_demographic,n_f,max_signature_multiplicity_in_panel,max_abs_signature_share_error_pp,same_panel_control_treatment,profile_fields_available,status,control_observed_n,treatment_observed_n,human_control_conditions,human_treatment_conditions,outcome,analytic_sample_definition,human_estimator,population_matching_method
Iles1294,Iles1294:collaborative:hyp3,514,127,122,23.735408560311285,500,27,0.15642023346303502,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,260,254,Experimental condition 3 (conflict within source)|Experimental condition 7 (conflict within source),Experimental condition 2 (conflict between sources)|Experimental condition 6 (conflict between sources),collaborative,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Kennedy1017,Kennedy1017:Family_approval:hyp1,1282,198,375,29.25117004680187,500,24,0.121996879875195,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,648,634,Green; Low,Green; High,Family_approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Kennedy1017,Kennedy1017:Family_approval:hyp2,2563,228,760,29.652750682793602,500,25,0.10292625829106498,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1281,1282,Not Green; High|Not Green; Low,Green; High|Green; Low,Family_approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Kennedy1017,Kennedy1017:Family_friends:hyp1,1279,196,373,29.16340891321345,500,24,0.12181391712275215,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,648,631,Green; Low,Green; High,Family_friends,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Kennedy1017,Kennedy1017:Family_friends:hyp2,2566,227,763,29.734996102883866,500,26,0.09851909586905691,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1287,1279,Not Green; High|Not Green; Low,Green; High|Green; Low,Family_friends,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Kennedy1017,Kennedy1017:Family_knowledge:hyp1,1274,197,372,29.199372056514914,500,23,0.12150706436420723,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,642,632,Green; Low,Green; High,Family_knowledge,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Kennedy1017,Kennedy1017:Family_knowledge:hyp2,2560,228,761,29.7265625,500,26,0.12031249999999993,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1286,1274,Not Green; High|Not Green; Low,Green; High|Green; Low,Family_knowledge,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
KlarS44,KlarS44:efficacy:hyp1,1379,204,389,28.20884699057288,500,19,0.11225525743292236,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,702,677,PARTISAN,CONTROL,efficacy,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
KlarS44,KlarS44:efficacy:hyp2,1432,218,407,28.421787709497206,500,18,0.12067039106145251,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,702,730,PARTISAN,GENDER,efficacy,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
KlarS44,KlarS44:importance:hyp1,1382,204,390,28.21997105643994,500,19,0.11056439942112883,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,704,678,PARTISAN,CONTROL,importance,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
KlarS44,KlarS44:importance:hyp2,1435,219,408,28.43205574912892,500,18,0.12125435540069687,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,704,731,PARTISAN,GENDER,importance,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
KlarS44,KlarS44:support_candidate:hyp1,1381,204,388,28.095582910934105,500,19,0.11035481535119482,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,705,676,PARTISAN,CONTROL,support_candidate,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
KlarS44,KlarS44:support_candidate:hyp2,1437,219,407,28.322894919972164,500,18,0.12164231036882393,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,705,732,PARTISAN,GENDER,support_candidate,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:social_stigma:hyp1,690,127,123,17.82608695652174,500,25,0.10434782608695642,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,350,No narrative,Successful Treatment Engagement & Recovery,social_stigma,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:social_stigma:hyp2,1046,146,176,16.826003824091778,500,27,0.10439770554493309,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,706,No narrative,Unsuccessful Treatment Engagement (Individual Choice)|Unsuccessful Treatment Engagement (Policy Failure),social_stigma,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:social_stigma:hyp3,1038,145,173,16.666666666666668,500,26,0.10366088631984585,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,698,No narrative,Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence|Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence,social_stigma,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:social_stigma:hyp4,1066,144,195,18.29268292682927,500,27,0.10619136960600375,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,726,No narrative,Unsuccessful Treatment Engagement (Individual Choice) + Family Violence|Unsuccessful treatment Engagement (Policy Failure) + Family Violence,social_stigma,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:treatment_support:hyp1,691,127,123,17.80028943560058,500,25,0.10246020260492039,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,341,350,No narrative,Successful Treatment Engagement & Recovery,treatment_support,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:treatment_support:hyp2,1051,146,176,16.74595623215985,500,27,0.10485252140818267,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,341,710,No narrative,Unsuccessful Treatment Engagement (Individual Choice)|Unsuccessful Treatment Engagement (Policy Failure),treatment_support,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
